action_index,action_id,action_type,host,timestamp,duration_seconds,status,error,container_action_confirmed_at,health_observed_at,detection_latency_seconds
0,room0,bot.create_room,001,2026-08-13T01:48:37.550815+00:00,17.677375999977812,ok,,,,
1,room0_h002_1,bot.join_room,002,2026-08-13T01:48:55.232612+00:00,10.585403333068825,ok,,,,
2,room0_h003_1,bot.join_room,003,2026-08-13T01:49:05.820044+00:00,10.026929583051242,ok,,,,
3,room0_h004_1,bot.join_room,004,2026-08-13T01:49:15.847862+00:00,9.467208625050262,ok,,,,
4,room0_h005_1,bot.join_room,005,2026-08-13T01:49:25.318626+00:00,8.81093170796521,ok,,,,
5,,bot.delete_room,001,2026-08-13T01:49:34.131781+00:00,0.5343724590493366,ok,,,,
6,,bot.delete_room,002,2026-08-13T01:55:18.174429+00:00,0.4139101250329986,ok,,,,
7,,bot.delete_room,003,2026-08-13T01:55:18.592403+00:00,0.5546875410946086,ok,,,,
8,,bot.delete_room,004,2026-08-13T01:55:19.152785+00:00,0.44490674999542534,ok,,,,
9,,bot.delete_room,005,2026-08-13T01:55:19.599642+00:00,0.5326858340995386,ok,,,,
